column_name,dtype
RID,int64
COLPROT,object
ORIGPROT,object
PTID,object
SITE,int64
VISCODE,object
EXAMDATE,object
DX_bl,object
AGE,float64
PTGENDER,object
PTEDUCAT,int64
PTETHCAT,object
PTRACCAT,object
PTMARRY,object
APOE4,float64
FDG,float64
PIB,float64
AV45,float64
FBB,float64
ABETA,object
TAU,object
PTAU,object
CDRSB,float64
ADAS11,float64
ADAS13,float64
ADASQ4,float64
MMSE,float64
RAVLT_immediate,float64
RAVLT_learning,float64
RAVLT_forgetting,float64
RAVLT_perc_forgetting,float64
LDELTOTAL,float64
DIGITSCOR,float64
TRABSCOR,float64
FAQ,float64
MOCA,float64
EcogPtMem,float64
EcogPtLang,float64
EcogPtVisspat,float64
EcogPtPlan,float64
EcogPtOrgan,float64
EcogPtDivatt,float64
EcogPtTotal,float64
EcogSPMem,float64
EcogSPLang,float64
EcogSPVisspat,float64
EcogSPPlan,float64
EcogSPOrgan,float64
EcogSPDivatt,float64
EcogSPTotal,float64
FLDSTRENG,object
FSVERSION,object
IMAGEUID,float64
Ventricles,float64
Hippocampus,float64
WholeBrain,float64
Entorhinal,float64
Fusiform,float64
MidTemp,float64
ICV,float64
DX,object
mPACCdigit,float64
mPACCtrailsB,float64
EXAMDATE_bl,object
CDRSB_bl,float64
ADAS11_bl,float64
ADAS13_bl,float64
ADASQ4_bl,float64
MMSE_bl,float64
RAVLT_immediate_bl,float64
RAVLT_learning_bl,float64
RAVLT_forgetting_bl,float64
RAVLT_perc_forgetting_bl,float64
LDELTOTAL_BL,float64
DIGITSCOR_bl,float64
TRABSCOR_bl,float64
FAQ_bl,float64
mPACCdigit_bl,float64
mPACCtrailsB_bl,float64
FLDSTRENG_bl,object
FSVERSION_bl,object
IMAGEUID_bl,float64
Ventricles_bl,float64
Hippocampus_bl,float64
WholeBrain_bl,float64
Entorhinal_bl,float64
Fusiform_bl,float64
MidTemp_bl,float64
ICV_bl,float64
MOCA_bl,float64
EcogPtMem_bl,float64
EcogPtLang_bl,float64
EcogPtVisspat_bl,float64
EcogPtPlan_bl,float64
EcogPtOrgan_bl,float64
EcogPtDivatt_bl,float64
EcogPtTotal_bl,float64
EcogSPMem_bl,float64
EcogSPLang_bl,float64
EcogSPVisspat_bl,float64
EcogSPPlan_bl,float64
EcogSPOrgan_bl,float64
EcogSPDivatt_bl,float64
EcogSPTotal_bl,float64
ABETA_bl,object
TAU_bl,object
PTAU_bl,object
FDG_bl,float64
PIB_bl,float64
AV45_bl,float64
FBB_bl,float64
Years_bl,float64
Month_bl,float64
Month,int64
M,int64
update_stamp,object
